name,l_deg,b_deg,radius_deg
4FGL J0000.3-7355 ,307.7090003893335,-42.729540707292,0.4
4FGL J0000.5+0743 ,101.65649026712394,-53.02945569862095,0.4
4FGL J0000.7+2530 ,108.77507950489604,-35.959173497572,0.4
4FGL J0001.2+4741 ,114.25020918399463,-14.338056804898345,0.4
4FGL J0001.2-0747 ,89.03274187462529,-67.30500539216966,0.4
4FGL J0001.4-0010 ,96.89200565447719,-60.49133105008992,0.4
4FGL J0001.5+2113 ,107.64936408465853,-40.16765001959443,0.4
4FGL J0001.6+3503 ,111.53812650991595,-26.710257253772397,0.4
4FGL J0001.6-4156 ,334.2263635213256,-72.02854749822909,0.4
4FGL J0001.8-2153 ,55.18471808483211,-77.57253969315558,0.4
4FGL J0002.1-6728 ,310.08493464531864,-48.96346798772851,0.4
4FGL J0002.1+6721c,118.20350038826118,4.939488282092116,0.4
4FGL J0002.3-0815 ,89.04346212889187,-67.8483317444357,0.4
4FGL J0002.4-5156 ,319.99947068296785,-63.53901665531349,0.4
4FGL J0002.7+7220 ,119.20876484430592,9.829274089978966,0.4
4FGL J0002.8+6217 ,117.3204174743295,-0.05103637324835474,0.4
4FGL J0003.1-5248 ,318.9899008042006,-62.78894852353894,0.4
4FGL J0003.1-1543 ,75.9879184870845,-74.0242706342724,0.4
4FGL J0003.2+2207 ,108.4385579258015,-39.38079381360976,0.4
4FGL J0003.3-0703 ,91.09473698238484,-66.91456771531936,0.4
4FGL J0003.3+2511 ,109.38164944333401,-36.41148290240267,0.4
4FGL J0003.3-1928 ,65.19780509128988,-76.58098891135293,0.4
4FGL J0003.3-5905 ,314.23904733681655,-56.96588847945167,0.4
4FGL J0003.5+0717 ,102.5937900239621,-53.67381184719208,0.4
4FGL J0003.6+3059 ,111.00449383832742,-30.771995883449165,0.4
4FGL J0003.9-1149 ,84.5954363795185,-71.07510269464032,0.4
4FGL J0004.0+5715 ,116.52632949029598,-5.0228650416082505,0.4
4FGL J0004.0+0840 ,103.49598905912329,-52.397844303188506,0.4
4FGL J0004.3+4614 ,114.48897721006958,-15.85490849578401,0.4
4FGL J0004.4-4737 ,323.9859812633539,-67.53783020082325,0.4
4FGL J0004.4-4001 ,336.99147628953295,-73.84533928609629,0.4
4FGL J0005.5+6634 ,118.38856506683977,4.110414617004213,0.4
4FGL J0005.6+6746c,118.60844077837419,5.282123263176199,0.4
4FGL J0005.9+3824 ,113.23228330612729,-23.613338177960767,0.4
4FGL J0006.3-1813 ,71.15023868968308,-76.31927843939926,0.4
4FGL J0006.3-0620 ,93.6470327762857,-66.62518602051541,0.4
4FGL J0006.4+0135 ,100.47746238429175,-59.297490097581374,0.4
4FGL J0006.4-5621 ,315.28861453410923,-59.6721964848752,0.4
4FGL J0006.6+4618 ,114.92035975630168,-15.869719585682558,0.4
4FGL J0007.0+7303 ,119.66263674284272,10.461683945331865,0.4
4FGL J0007.4-0322 ,97.16128161919696,-64.02511055663757,0.4
4FGL J0007.5-5247 ,317.6530932454749,-63.06973497765275,0.4
4FGL J0007.7+4008 ,113.93702333466408,-21.97277806985095,0.4
4FGL J0008.0+4711 ,115.31626274864202,-15.033559029814263,0.4
4FGL J0008.0-3937 ,335.99619090349717,-74.5833336244607,0.4
4FGL J0008.4+6926 ,119.14811395938301,6.885730986167302,0.4
4FGL J0008.4-2339 ,50.265162149898984,-79.69083476786744,0.4
4FGL J0008.4+6837 ,119.01284983309085,6.077523960931219,0.4
4FGL J0008.4+1455 ,107.72408146557677,-46.67670016297806,0.4
4FGL J0008.9+2509 ,110.9151156539721,-36.72458706644395,0.4
4FGL J0009.1-5012 ,319.3950979079929,-65.54536002048906,0.4
4FGL J0009.1+0628 ,104.48074666918939,-54.868298433028436,0.4
4FGL J0009.2+1745 ,108.90928428723227,-43.965129501891894,0.4
4FGL J0009.3+5030 ,116.12437445971261,-11.803587449691129,0.4
4FGL J0009.7-1418 ,83.70578429691864,-73.91203501591343,0.4
4FGL J0009.7-3217 ,0.672736342651796,-79.58928042988914,0.4
4FGL J0009.8-4317 ,327.77506711515105,-71.7661674011786,0.4
4FGL J0009.8+1340 ,107.75219889499267,-47.97135593355021,0.4
4FGL J0009.8-6358 ,310.40746913021525,-52.551541106616575,0.4
4FGL J0009.9+2810 ,111.93144229074252,-33.8071309877022,0.4
4FGL J0010.1+1631 ,108.81277666977832,-45.218318316936084,0.4
4FGL J0010.2-2431 ,46.329598148103734,-80.37431845570642,0.4
4FGL J0010.6+2043 ,110.21875599365663,-41.12826934304559,0.4
4FGL J0010.6-3025 ,10.263706337822644,-80.48232122357811,0.4
4FGL J0010.8-2154 ,60.28119935710264,-79.40051060308836,0.4
4FGL J0011.4-4110 ,330.75209733034495,-73.72041277042769,0.4
4FGL J0011.4+0057 ,102.40725076760566,-60.30269354131592,0.4
4FGL J0011.5+4822 ,116.11765035847282,-13.960753537662967,0.4
4FGL J0011.8-3142 ,2.5585545393717015,-80.23526225348871,0.4
4FGL J0012.0+7043 ,119.6611109482989,8.111637324955694,0.4
4FGL J0013.0+3355 ,113.89489756200294,-28.277204427023047,0.4
4FGL J0013.1-3955 ,332.3398911407187,-74.93616933377709,0.4
4FGL J0013.4+0950 ,107.64185315955669,-51.9024411025833,0.4
4FGL J0013.6+4051 ,115.25780900759086,-21.451031506363663,0.4
4FGL J0013.6-0424 ,99.66021762742686,-65.55317526314634,0.4
4FGL J0013.9-1854 ,74.58782557927628,-78.09191773580814,0.4
4FGL J0014.1+1910 ,110.88995201756978,-42.82682322323228,0.4
4FGL J0014.1-5022 ,317.45295569424627,-65.69481437880565,0.4
4FGL J0014.2+0854 ,107.61856570287941,-52.851952892779906,0.4
4FGL J0014.3-0500 ,99.50948961436212,-66.18238719742405,0.4
4FGL J0014.7+5801 ,118.07475029605465,-4.498108217109099,0.4
4FGL J0014.8+6118 ,118.55730552146467,-1.257187688691293,0.4
4FGL J0014.9+3212 ,114.00973483778563,-30.021873379212153,0.4
4FGL J0015.2+3537 ,114.71824146847426,-26.677506171480594,0.4
4FGL J0015.6+5551 ,117.88810668634608,-6.657061906318652,0.4
4FGL J0015.9+2440 ,112.76398332764725,-37.48992213635653,0.4
4FGL J0016.2-0016 ,104.01229221976602,-61.85269212267862,0.4
4FGL J0016.5+1702 ,111.0968077773667,-45.02981508364164,0.4
4FGL J0017.0-0649 ,99.46172469495141,-68.12262152843789,0.4
4FGL J0017.1-4605 ,320.3886582873748,-69.86521644198623,0.4
4FGL J0017.4+6506 ,119.36696893812483,2.474232989993162,0.4
4FGL J0017.5-0514 ,101.20987023807511,-66.6678175702593,0.4
4FGL J0017.8+1455 ,110.9652783951854,-47.167831466496104,0.4
4FGL J0018.4+2946 ,114.44118251020413,-32.54827297585108,0.4
